SlideNumber	FileName	Cy3	Cy5	Quadrant	M	slidePrefix
1	251486826266_200911101002_S01_GE1-v5_10_Apr08_1_3.txt	liver_291	liver_291	1_3	-1	251486826266_200911101002_S01_GE1-v5_10_Apr08
2	251486826266_200911101002_S01_GE1-v5_10_Apr08_1_2.txt	liver_349	liver_349	1_2	-1	251486826266_200911101002_S01_GE1-v5_10_Apr08
3	251486826267_200911101010_S01_GE1-v5_10_Apr08_1_2.txt	ES_rtTA	ES_rtTA	1_2	-1	251486826267_200911101010_S01_GE1-v5_10_Apr08
4	251486826267_200911101010_S01_GE1-v5_10_Apr08_1_1.txt	proB_409	proB_409	1_1	-1	251486826267_200911101010_S01_GE1-v5_10_Apr08
5	251486826268_200911101018_S01_GE1-v5_10_Apr08_1_4.txt	ES_V6.5	ES_V6.5	1_4	-1	251486826268_200911101018_S01_GE1-v5_10_Apr08
6	251486826268_200911101018_S01_GE1-v5_10_Apr08_1_3.txt	proB_311	proB_311	1_3	-1	251486826268_200911101018_S01_GE1-v5_10_Apr08
7	251486829612_041610_S01_GE1-v5_10_Apr08_1_4.txt	NPC_tr1	NPC_tr1	1_4	-1	251486829612_041610_S01_GE1-v5_10_Apr08_1_4
8	251486829612_041610_S01_GE1-v5_10_Apr08_1_3.txt	NPC_tr2	NPC_tr2	1_3	-1	251486829612_041610_S01_GE1-v5_10_Apr08_1_3
9	251486829612_041610_S01_GE1-v5_10_Apr08_1_2.txt	MEF_tr1	MEF_tr1	1_2	-1	251486829612_041610_S01_GE1-v5_10_Apr08_1_2
10	251486829612_041610_S01_GE1-v5_10_Apr08_1_1.txt	MEF_tr2	MEF_tr2	1_1	-1	251486829612_041610_S01_GE1-v5_10_Apr08_1_1
